,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
10,2009103532,1,5,2014/11/03,5149,35,5,8.0,16.0,10,4.9,2.0,1,1,5203,55.0,2,1800,2,109.3,36.6,474,-2,0,0,0,0,1,0,0,4100.0
11,2009103532,1,5,2014/10/02,5117,44,5,11.0,10.0,3,2.5,2.0,0,1,5203,55.0,2,1800,4,111.8,36.2,476,2,1,0,0,0,0,1,1,1085.0
12,2009103532,1,5,2014/08/14,5067,30,6,11.0,14.0,13,4.3,2.0,1,1,5203,55.0,2,2000,4,127.4,39.3,474,2,0,0,0,0,0,0,0,2500.0
13,2009103532,1,5,2014/07/13,5035,2,5,11.0,13.0,6,5.1,2.0,0,1,5203,53.0,2,1700,4,103.5,36.6,472,5,0,0,0,0,0,0,0,808.4
14,2009103532,1,5,2014/03/05,4903,45,3,11.0,13.0,5,5.2,2.0,0,1,0,55.0,2,2100,1,134.3,39.2,467,-3,0,0,0,0,0,1,1,700.0
8,2006106794,3,8,2014/11/03,5149,35,5,10.0,16.0,4,3.5,2.0,0,1,666,57.0,2,2000,2,121.4,35.9,509,-4,0,0,0,0,1,0,0,1040.0
9,2006106794,3,8,2014/06/25,5016,44,5,12.0,11.0,10,4.4,3.0,1,1,666,57.0,2,2000,1,123.5,35.8,513,4,1,0,0,0,1,0,0,6000.0
10,2006106794,3,8,2014/05/05,4965,43,5,11.0,8.0,7,1.8,1.0,0,1,666,57.0,2,1600,4,99.6,37.0,509,-7,0,0,0,0,1,0,0,1200.0
11,2006106794,3,8,2014/02/23,4890,5,6,11.0,16.0,4,10.0,5.0,0,0,666,57.0,2,1600,4,96.5,35.2,516,2,0,0,0,0,1,0,0,0.0
12,2006106794,3,7,2013/12/29,4834,44,6,10.0,9.0,4,3.7,2.0,0,1,666,57.0,2,2000,4,126.9,36.3,514,-8,1,0,0,0,1,0,0,2450.0
8,2009106697,3,5,2014/11/15,5161,5,6,11.0,16.0,11,9.7,7.0,1,1,666,56.0,2,1600,4,95.2,35.7,478,2,0,0,0,0,0,0,0,3764.4
9,2009106697,3,5,2014/10/13,5128,5,4,11.0,16.0,12,6.7,3.0,1,1,663,56.0,2,1400,3,83.0,35.5,476,-4,0,0,0,0,0,0,0,2039.2
10,2009106697,3,5,2014/09/13,5097,9,6,11.0,13.0,2,4.6,3.0,0,1,666,56.0,2,1400,4,82.7,35.8,480,-6,0,0,0,0,0,0,0,808.2
11,2009106697,3,5,2014/07/13,5035,7,5,11.0,16.0,15,23.4,7.0,0,0,666,56.0,2,1400,3,83.0,35.1,486,0,0,0,0,0,0,0,0,0.0
12,2009106697,3,5,2014/05/31,4991,5,6,11.0,16.0,2,6.6,3.0,0,1,663,56.0,2,1400,4,82.8,34.7,486,-4,0,0,0,0,0,0,0,809.8
27,2011102128,3,3,2014/11/03,5149,35,5,10.0,16.0,3,13.8,6.0,0,0,1019,55.0,2,2000,2,123.1,34.7,455,1,0,0,0,0,1,0,0,0.0
28,2011102128,3,3,2014/07/09,5031,44,3,11.0,13.0,10,5.1,2.0,1,1,1019,56.0,2,2000,3,123.9,36.5,454,4,1,1,0,0,0,0,0,4500.0
29,2011102128,3,3,2014/05/25,4985,8,6,10.0,11.0,9,3.9,2.0,1,1,1102,56.0,2,1800,4,112.2,35.4,450,-4,0,0,0,0,0,0,0,1826.6
30,2011102128,3,3,2014/05/10,4970,8,6,6.0,9.0,3,4.8,3.0,1,1,1019,56.0,2,1800,4,112.7,36.6,454,-4,0,0,0,0,0,0,0,720.0
31,2011102128,3,3,2014/03/29,4927,9,6,11.0,14.0,3,159.1,13.0,0,0,1026,56.0,1,1800,4,108.4,35.8,458,-2,0,0,0,0,0,0,0,0.0
20,2010100855,3,4,2014/11/09,5155,8,5,11.0,16.0,5,2.6,1.0,0,0,732,57.0,2,1800,4,110.6,37.0,532,2,0,0,0,0,0,0,0,370.0
21,2010100855,3,4,2014/10/04,5119,9,5,11.0,14.0,4,3.0,1.0,1,1,732,57.5,2,2000,4,123.8,35.6,530,2,0,0,0,0,0,0,0,3558.8
22,2010100855,3,4,2014/07/27,5049,1,3,11.0,13.0,10,11.7,5.0,0,1,732,57.0,2,1700,1,101.9,36.3,528,-4,0,0,0,0,0,0,0,1413.0
23,2010100855,3,4,2014/05/24,4984,8,6,11.0,16.0,10,74.9,12.0,1,1,732,56.0,2,1900,4,116.6,36.4,532,6,0,0,0,0,0,0,0,3557.4
24,2010100855,3,4,2014/04/19,4948,9,6,11.0,16.0,15,54.3,9.0,0,0,732,56.0,2,1800,4,113.6,37.8,526,-12,0,0,0,0,0,0,0,0.0
15,2008103069,3,6,2014/11/15,5161,5,6,11.0,16.0,3,43.9,11.0,0,1,1043,58.0,2,1600,4,95.8,37.3,524,3,0,0,0,0,0,0,0,939.2
16,2008103069,3,6,2014/09/23,5107,43,6,11.0,10.0,3,4.3,2.0,0,0,1115,57.0,2,1800,4,111.9,38.4,521,-5,0,0,0,0,0,1,1,160.0
17,2008103069,3,6,2014/07/27,5049,1,3,11.0,13.0,5,22.5,7.0,0,0,1102,58.0,2,1700,1,103.8,37.3,526,-12,0,0,0,0,0,0,0,0.0
18,2008103069,3,6,2014/01/26,4862,7,6,11.0,16.0,2,6.7,2.0,0,0,1115,58.0,2,1800,4,111.4,38.5,538,14,0,0,0,0,0,1,1,0.0
19,2008103069,3,5,2013/12/01,4806,9,6,11.0,16.0,2,43.0,11.0,0,0,5212,57.0,2,1800,4,111.6,37.1,524,-10,0,0,0,0,1,0,0,0.0
18,2010104916,3,4,2014/11/09,5155,8,5,11.0,16.0,14,5.5,2.0,1,1,1096,56.0,2,1800,4,110.2,36.0,488,6,0,0,0,0,0,0,0,3760.2
19,2010104916,3,4,2014/09/20,5104,4,6,11.0,12.0,5,1.4,1.0,1,1,1096,57.0,2,1800,4,111.2,35.7,482,0,0,0,0,0,0,0,0,2026.6
20,2010104916,3,4,2014/08/30,5083,4,6,11.0,10.0,5,2.8,2.0,1,1,1096,57.0,2,1800,4,110.6,38.3,482,8,0,0,0,0,0,0,0,2023.8
21,2010104916,3,4,2014/07/27,5049,1,3,11.0,13.0,12,34.3,10.0,0,1,1096,57.0,2,1700,1,102.7,36.9,474,-12,0,0,0,0,0,0,0,886.5
22,2010104916,3,3,2013/12/01,4806,9,6,11.0,16.0,15,35.9,9.0,0,0,1096,55.0,2,1800,4,112.0,37.9,486,0,0,0,0,0,1,0,0,0.0
21,2010110127,3,4,2014/11/03,5149,35,5,10.0,16.0,9,6.7,5.0,0,0,5386,57.0,2,2000,2,121.9,36.7,513,7,0,0,0,0,1,0,0,400.0
22,2010110127,3,4,2014/10/13,5128,35,5,11.0,15.0,10,1.2,1.0,1,1,5386,57.0,2,1600,4,95.9,35.5,506,-6,0,0,0,0,1,0,0,4500.0
23,2010110127,3,4,2014/07/13,5035,7,5,11.0,16.0,6,1.9,1.0,1,1,5386,56.0,2,1400,3,82.6,35.4,512,-2,0,0,0,0,0,0,0,3558.8
24,2010110127,3,4,2014/06/14,5005,5,6,11.0,14.0,10,1.6,1.0,0,1,5386,57.5,2,1600,3,94.6,35.4,514,4,0,0,0,0,0,0,0,813.4
25,2010110127,3,4,2014/05/04,4964,5,6,10.0,16.0,10,1.5,1.0,1,1,5386,57.0,2,1600,4,95.8,36.4,510,0,0,0,0,0,0,0,0,2048.3
21,2010106548,3,4,2014/11/03,5149,35,5,10.0,16.0,15,4.8,3.0,1,1,1075,57.0,2,2000,2,120.8,35.7,535,1,0,0,0,0,1,0,0,8000.0
22,2010106548,3,4,2014/06/25,5016,44,5,12.0,11.0,7,1.6,1.0,0,1,1075,57.0,2,2000,1,123.9,36.4,534,-3,1,0,0,0,1,0,0,2100.0
23,2010106548,3,4,2014/05/05,4965,43,5,11.0,8.0,5,2.4,2.0,1,1,1075,57.0,2,1600,4,99.2,36.5,537,7,0,0,0,0,1,0,0,6000.0
24,2010106548,3,4,2014/02/23,4890,5,6,11.0,16.0,13,272.1,16.0,1,1,1075,57.0,2,1600,4,96.0,35.3,530,4,0,0,0,0,1,0,0,9740.2
25,2010106548,3,3,2013/12/23,4828,6,6,11.0,16.0,6,6.6,3.0,0,0,5386,56.0,2,1800,3,112.3,38.1,526,2,0,0,0,0,0,0,0,0.0
9,2007100191,3,7,2014/11/09,5155,8,5,11.0,16.0,7,6.5,3.0,0,0,1034,58.0,2,1800,4,110.8,36.8,540,10,0,0,0,0,0,0,0,0.0
10,2007100191,3,7,2014/06/25,5016,44,5,12.0,11.0,2,4.1,2.0,0,0,1034,57.0,2,2000,1,124.6,37.0,530,-4,1,0,0,0,1,0,0,600.0
11,2007100191,3,7,2014/04/19,4948,9,6,11.0,16.0,12,1.8,1.0,0,1,1034,58.0,2,1800,4,111.5,36.4,534,7,0,0,0,0,0,0,0,888.7
12,2007100191,3,7,2014/03/19,4917,43,5,11.0,14.0,3,2.1,2.0,1,1,1034,56.0,2,2400,3,154.6,38.4,527,-1,0,0,0,0,0,1,1,3200.0
13,2007100191,3,7,2014/02/23,4890,5,6,11.0,16.0,7,7.8,4.0,0,0,1034,57.0,2,1600,4,96.7,35.5,528,-16,0,0,0,0,1,0,0,0.0
19,2010104098,3,4,2014/11/03,5149,35,5,10.0,16.0,6,2.8,1.0,0,1,5339,57.0,2,2000,2,121.3,35.7,493,8,0,0,0,0,1,0,0,1840.0
20,2010104098,3,4,2014/09/23,5107,43,6,11.0,10.0,8,1.4,1.0,1,1,5386,57.0,2,1800,4,110.1,36.9,485,-4,0,0,0,0,0,1,1,3200.0
21,2010104098,3,4,2014/07/21,5043,35,6,9.0,13.0,11,7.7,3.0,0,1,422,59.0,2,2000,4,122.0,37.8,489,-11,0,0,0,0,0,0,0,529.0
22,2010104098,3,4,2014/06/29,5020,2,5,11.0,13.0,9,3.0,1.0,0,0,1122,56.0,2,1700,4,105.6,37.2,500,8,0,0,0,0,0,0,0,0.0
23,2010104098,3,4,2014/05/11,4971,5,6,10.0,14.0,4,7.4,3.0,0,0,5416,57.0,2,2100,4,131.9,35.8,492,-2,0,0,0,0,0,0,0,300.0
5,2006103226,3,8,2014/11/15,5161,5,6,11.0,16.0,13,62.4,12.0,0,0,0,57.0,2,1600,4,95.9,37.3,526,5,0,0,0,0,0,0,0,560.0
6,2006103226,3,8,2014/09/23,5107,43,6,11.0,10.0,10,7.7,3.0,0,1,1088,56.0,2,1800,4,111.5,38.2,521,-5,0,0,0,0,0,1,1,1120.0
7,2006103226,3,8,2014/07/13,5035,7,5,11.0,16.0,9,44.9,9.0,0,0,5454,57.0,2,1400,3,83.1,36.3,526,-1,0,0,0,0,0,0,0,0.0
8,2006103226,3,8,2014/05/28,4988,42,6,11.0,12.0,12,8.4,4.0,0,0,1088,56.0,2,1400,2,89.1,39.9,527,-5,0,0,0,0,0,1,1,0.0
9,2006103226,3,8,2014/04/29,4958,48,3,11.0,12.0,4,2.9,2.0,0,1,1088,55.0,2,1400,1,87.3,37.4,532,-3,0,0,0,0,0,0,0,273.0
